Age, Height, Chest, Size, Color
41, 177.6,81.5,107.4,Large, lawngreen 
35, 170.2,72.6,102.1,Large, lawngreen 
42, 173.5,92.9,112.0,X_Large, green 
31, 165.5,79.4,111.4,Large, lawngreen 
21, 191.4,94.6,104.8,Large, lawngreen 
39, 172.0,80.2,106.6,Large, lawngreen 
32, 181.0,116.2,120.8,X_Large, green 
23, 185.0,95.4,108.7,Large, lawngreen 
36, 177.7,99.5,118.1,X_Large, green 
23, 181.1,70.2,96.4,Medium, blue 
32, 178.0,88.2,111.7,Large, lawngreen 
28, 173.3,70.1,96.1,Medium, blue 
36, 181.4,103.7,115.1,X_Large, green 
26, 186.1,111.6,123.1,XX_Large, slategray 
22, 170.9,89.6,106.0,Large, lawngreen 
38, 174.0,92.4,109.2,Large, lawngreen 
26, 169.4,77.9,108.5,Large, lawngreen 
34, 176.6,96.9,111.8,Large, lawngreen 
31, 174.8,76.0,99.9,Medium, blue 
32, 179.4,90.8,112.7,X_Large, green 
28, 178.0,71.4,100.0,Medium, blue 
24, 168.0,74.6,97.7,Medium, blue 
23, 165.3,79.2,107.9,Large, lawngreen 
26, 195.9,91.5,101.1,Medium, blue 
33, 175.5,96.5,109.8,Large, lawngreen 
32, 163.0,67.5,95.7,Medium, blue 
30, 182.5,107.3,115.8,X_Large, green 
36, 179.5,79.3,96.4,Medium, blue 
25, 174.5,78.2,97.1,Medium, blue 
33, 181.8,88.2,105.7,Large, lawngreen 
21, 188.1,71.5,95.7,Medium, blue 
47, 176.0,94.7,110.8,Large, lawngreen 
37, 167.5,66.5,94.7,Small, red 
27, 185.2,87.9,104.3,Large, lawngreen 
20, 178.5,67.5,96.5,Medium, blue 
30, 179.1,88.4,117.4,X_Large, green 
20, 168.5,69.5,95.1,Medium, blue 
30, 185.0,121.8,118.2,X_Large, green 
30, 173.7,71.9,98.1,Medium, blue 
26, 174.3,88.1,108.6,Large, lawngreen 
25, 174.4,57.5,86.5,X_Small, yellow 
44, 167.9,87.6,120.5,X_Large, green 
19, 183.6,85.0,101.3,Medium, blue 
24, 173.0,86.5,115.2,X_Large, green 
33, 176.2,95.8,109.6,Large, lawngreen 
21, 166.9,66.7,95.7,Medium, blue 
29, 174.0,70.6,98.5,Medium, blue 
31, 170.9,84.7,106.3,Large, lawngreen 
39, 187.9,101.3,113.7,X_Large, green 
40, 167.4,85.6,110.6,Large, lawngreen 
39, 177.9,109.5,116.6,X_Large, green 
35, 184.4,83.4,108.1,Large, lawngreen 
35, 163.7,72.7,100.6,Medium, blue 
24, 175.4,98.6,115.3,X_Large, green 
31, 170.4,77.3,103.7,Large, lawngreen 
33, 184.0,140.0,146.9,XXX_Large, black 
26, 178.3,67.4,90.1,Small, red 
28, 174.8,88.4,107.1,Large, lawngreen 
40, 170.3,98.8,126.3,XX_Large, slategray 
35, 185.2,95.2,114.6,X_Large, green 
26, 160.9,56.6,85.8,X_Small, yellow 
33, 170.9,71.7,104.4,Large, lawngreen 
27, 183.5,71.7,90.4,Small, red 
43, 167.9,80.2,103.3,Large, lawngreen 
28, 174.2,98.8,116.0,X_Large, green 
32, 169.8,66.2,97.1,Medium, blue 
28, 167.1,80.7,105.0,Large, lawngreen 
26, 185.0,105.3,121.3,X_Large, green 
27, 175.4,68.3,94.4,Small, red 
39, 161.9,74.9,98.9,Medium, blue 
26, 177.2,73.8,97.5,Medium, blue 
28, 170.5,60.4,93.9,Small, red 
39, 161.9,77.4,109.1,Large, lawngreen 
22, 172.6,76.8,98.3,Medium, blue 
26, 184.0,102.2,112.9,X_Large, green 
45, 174.3,96.3,120.5,X_Large, green 
39, 167.4,92.3,112.3,X_Large, green 
40, 175.0,98.8,112.9,X_Large, green 
23, 181.9,88.7,104.8,Large, lawngreen 
19, 179.9,98.7,106.3,Large, lawngreen 
21, 175.0,85.2,109.8,Large, lawngreen 
27, 172.3,74.8,97.2,Medium, blue 
41, 180.9,92.0,112.7,X_Large, green 
33, 179.1,74.4,96.3,Medium, blue 
35, 172.3,82.3,109.8,Large, lawngreen 
21, 157.8,62.7,95.3,Medium, blue 
24, 171.8,77.8,102.4,Large, lawngreen 
34, 179.9,88.2,104.3,Large, lawngreen 
19, 174.0,59.0,90.2,Small, red 
24, 170.2,73.0,100.8,Medium, blue 
29, 173.7,86.4,102.7,Large, lawngreen 
24, 173.0,86.6,104.4,Large, lawngreen 
23, 178.5,73.7,91.7,Small, red 
19, 181.7,65.4,91.7,Small, red 
21, 184.3,69.6,92.4,Small, red 
21, 179.1,77.5,99.4,Medium, blue 
22, 165.7,72.7,100.1,Medium, blue 
26, 170.1,79.7,106.9,Large, lawngreen 
20, 178.6,74.4,99.5,Medium, blue 
27, 175.5,96.8,110.4,Large, lawngreen 
44, 179.1,86.6,104.5,Large, lawngreen 
19, 175.9,74.2,101.5,Medium, blue 
29, 179.0,92.0,110.9,Large, lawngreen 
22, 178.2,81.4,99.1,Medium, blue 
28, 183.9,64.6,84.4,X_Small, yellow 
31, 188.0,95.4,117.6,X_Large, green 
28, 173.8,85.3,108.5,Large, lawngreen 
31, 173.4,90.0,108.5,Large, lawngreen 
34, 181.9,83.5,102.1,Large, lawngreen 
30, 168.3,85.1,109.6,Large, lawngreen 
31, 181.5,89.7,106.3,Large, lawngreen 
42, 181.5,87.2,103.0,Large, lawngreen 
40, 167.3,82.2,110.6,Large, lawngreen 
28, 183.1,111.2,116.3,X_Large, green 
48, 179.5,98.7,108.9,Large, lawngreen 
29, 184.5,110.5,114.9,X_Large, green 
32, 168.7,78.2,104.1,Large, lawngreen 
30, 175.6,86.9,105.6,Large, lawngreen 
28, 184.6,141.3,135.8,XXX_Large, black 
21, 165.7,78.9,102.5,Large, lawngreen 
20, 163.2,69.0,100.0,Medium, blue 
29, 173.5,79.2,102.6,Large, lawngreen 
34, 172.6,69.9,98.9,Medium, blue 
46, 187.7,121.2,125.1,XX_Large, slategray 
38, 188.7,87.8,103.0,Large, lawngreen 
39, 176.5,70.6,97.0,Medium, blue 
26, 179.3,82.2,103.5,Large, lawngreen 
24, 184.9,99.2,107.6,Large, lawngreen 
41, 181.1,76.0,103.8,Large, lawngreen 
38, 173.9,98.8,111.3,Large, lawngreen 
24, 166.8,75.9,101.1,Medium, blue 
19, 178.8,89.8,102.4,Large, lawngreen 
31, 174.6,78.2,99.7,Medium, blue 
36, 175.0,83.1,105.7,Large, lawngreen 
24, 181.0,99.6,108.2,Large, lawngreen 
33, 171.0,74.2,100.2,Medium, blue 
31, 184.7,96.8,113.2,X_Large, green 
27, 181.1,91.6,112.3,X_Large, green 
40, 178.0,108.0,117.5,X_Large, green 
33, 174.0,78.8,102.1,Large, lawngreen 
31, 179.7,94.9,111.5,Large, lawngreen 
23, 175.5,90.6,111.2,Large, lawngreen 
29, 184.2,106.9,116.5,X_Large, green 
24, 165.6,87.4,105.6,Large, lawngreen 
26, 177.6,87.9,104.8,Large, lawngreen 
32, 185.9,115.4,113.7,X_Large, green 
22, 168.5,79.0,104.1,Large, lawngreen 
21, 177.5,88.7,102.7,Large, lawngreen 
26, 182.5,86.6,102.1,Large, lawngreen 
21, 193.1,80.6,100.1,Medium, blue 
26, 178.9,96.6,112.6,X_Large, green 
36, 181.9,109.9,122.5,X_Large, green 
34, 178.2,77.1,107.0,Large, lawngreen 
23, 172.1,95.1,110.2,Large, lawngreen 
33, 191.0,111.8,119.4,X_Large, green 
30, 180.4,89.5,109.7,Large, lawngreen 
33, 178.2,106.0,120.8,X_Large, green 
22, 177.7,95.1,111.6,Large, lawngreen 
42, 166.5,72.1,99.5,Medium, blue 
38, 180.3,87.2,109.2,Large, lawngreen 
32, 187.9,97.8,107.9,Large, lawngreen 
30, 173.3,97.4,117.9,X_Large, green 
38, 183.5,95.8,108.4,Large, lawngreen 
25, 179.2,112.3,115.0,X_Large, green 
39, 172.1,90.0,109.8,Large, lawngreen 
27, 171.1,94.8,114.2,X_Large, green 
32, 180.9,95.0,107.1,Large, lawngreen 
19, 166.4,73.9,102.1,Large, lawngreen 
40, 180.7,103.6,124.1,XX_Large, slategray 
