Age, Height, Weight, Chest, Size, Color
26, 156.0, 65.7, 92.2,Small, red 
21, 166.5, 53.4, 83.9,XX_Small, pink 
23, 171.1, 66.3, 87.4,X_Small, yellow 
22, 166.0, 78.2, 100.8,Medium, blue 
45, 157.2, 88.6, 108.9,Large, lavender 
44, 170.7, 83.7, 103.1,Large, lavender 
21, 164.4, 73.2, 98.8,Medium, blue 
23, 167.1, 76.0, 96.8,Medium, blue 
24, 152.1, 54.5, 83.1,XX_Small, pink 
37, 159.0, 68.4, 101.0,Medium, blue 
33, 170.7, 99.0, 106.5,Large, lavender 
36, 166.8, 74.2, 103.4,Large, lavender 
40, 165.4, 78.1, 106.3,Large, lavender 
24, 166.6, 71.8, 93.7,Small, red 
30, 159.9, 70.9, 98.9,Medium, blue 
36, 167.3, 67.2, 94.0,Small, red 
19, 164.7, 62.0, 83.5,XX_Small, pink 
19, 167.8, 59.5, 89.7,X_Small, yellow 
33, 167.9, 74.1, 97.9,Medium, blue 
34, 161.5, 60.5, 85.3,X_Small, yellow 
31, 151.7, 80.0, 109.0,Large, lavender 
29, 167.4, 74.7, 94.1,Small, red 
31, 162.3, 49.1, 85.7,X_Small, yellow 
33, 166.8, 70.3, 97.3,Medium, blue 
19, 164.4, 71.5, 97.5,Medium, blue 
23, 157.9, 70.8, 102.6,Large, lavender 
23, 144.6, 48.8, 83.2,XX_Small, pink 
21, 162.0, 69.1, 92.1,Small, red 
24, 168.4, 73.0, 103.2,Large, lavender 
30, 161.9, 61.0, 90.4,Small, red 
30, 159.2, 65.8, 95.1,Medium, blue 
28, 165.5, 70.9, 95.0,Medium, blue 
22, 172.3, 72.8, 96.5,Medium, blue 
40, 167.7, 84.6, 111.5,Large, lavender 
42, 165.4, 94.5, 117.0,X_Large, green 
26, 163.4, 62.7, 89.5,X_Small, yellow 
40, 168.3, 57.8, 94.4,Small, red 
29, 155.2, 52.4, 83.3,XX_Small, pink 
37, 161.7, 73.2, 102.5,Large, lavender 
26, 158.8, 79.1, 98.2,Medium, blue 
31, 164.1, 89.4, 106.0,Large, lavender 
28, 168.5, 68.9, 99.1,Medium, blue 
25, 165.6, 75.8, 99.4,Medium, blue 
26, 160.3, 73.1, 107.1,Large, lavender 
35, 160.8, 74.8, 94.5,Small, red 
22, 166.4, 80.6, 109.4,Large, lavender 
40, 161.9, 71.4, 93.2,Small, red 
43, 162.0, 71.2, 101.3,Medium, blue 
20, 172.0, 65.7, 91.0,Small, red 
26, 158.2, 47.7, 79.3,XX_Small, pink 
24, 172.0, 69.6, 95.4,Medium, blue 
27, 172.0, 119.6, 116.1,X_Large, green 
41, 170.1, 88.7, 113.5,X_Large, green 
30, 162.7, 75.4, 109.5,Large, lavender 
25, 153.6, 67.8, 101.4,Medium, blue 
24, 154.6, 60.7, 94.6,Small, red 
21, 165.4, 57.2, 81.4,XX_Small, pink 
24, 160.5, 68.9, 94.0,Small, red 
29, 163.0, 71.2, 98.8,Medium, blue 
23, 161.2, 60.4, 90.4,Small, red 
35, 175.7, 69.7, 87.6,X_Small, yellow 
28, 167.0, 85.4, 109.0,Large, lavender 
26, 163.2, 61.7, 94.3,Small, red 
27, 163.5, 79.0, 113.2,X_Large, green 
25, 168.2, 67.2, 97.7,Medium, blue 
27, 166.1, 69.5, 97.7,Medium, blue 
22, 159.6, 66.9, 100.6,Medium, blue 
24, 159.6, 57.4, 93.6,Small, red 
26, 166.5, 81.5, 106.5,Large, lavender 
27, 161.7, 61.8, 89.0,X_Small, yellow 
20, 155.5, 64.5, 90.0,Small, red 
36, 157.8, 55.7, 86.2,X_Small, yellow 
44, 158.1, 61.4, 89.6,X_Small, yellow 
34, 169.8, 66.8, 94.3,Small, red 
26, 155.4, 73.0, 109.2,Large, lavender 
22, 175.6, 73.7, 92.0,Small, red 
29, 156.6, 69.3, 107.1,Large, lavender 
44, 165.1, 75.7, 100.1,Medium, blue 
38, 158.5, 74.0, 112.6,X_Large, green 
22, 165.7, 68.2, 98.2,Medium, blue 
25, 171.9, 86.7, 106.9,Large, lavender 
18, 182.2, 88.2, 106.1,Large, lavender 
34, 164.9, 78.6, 103.1,Large, lavender 
20, 168.7, 62.2, 92.4,Small, red 
33, 169.8, 78.2, 99.9,Medium, blue 
36, 153.0, 60.8, 86.5,X_Small, yellow 
29, 158.1, 67.4, 99.8,Medium, blue 
23, 160.9, 68.6, 93.0,Small, red 
35, 164.4, 67.0, 93.4,Small, red 
19, 154.8, 63.5, 85.6,X_Small, yellow 
30, 160.6, 77.3, 97.9,Medium, blue 
42, 164.2, 55.5, 85.2,X_Small, yellow 
38, 162.2, 72.7, 101.4,Medium, blue 
24, 166.9, 59.3, 84.1,X_Small, yellow 
35, 174.5, 99.8, 105.7,Large, lavender 
32, 149.5, 58.1, 98.6,Medium, blue 
41, 149.3, 64.2, 95.1,Medium, blue 
40, 164.1, 75.8, 106.8,Large, lavender 
42, 160.7, 68.3, 94.5,Small, red 
33, 156.0, 47.1, 82.6,XX_Small, pink 
30, 162.5, 66.5, 97.8,Medium, blue 
36, 167.0, 68.5, 97.8,Medium, blue 
20, 161.6, 57.9, 87.0,X_Small, yellow 
46, 158.2, 64.7, 108.0,Large, lavender 
20, 173.0, 59.1, 92.1,Small, red 
20, 150.1, 45.0, 84.6,X_Small, yellow 
40, 151.5, 57.2, 95.9,Medium, blue 
31, 157.6, 72.1, 102.2,Large, lavender 
32, 162.8, 67.6, 87.8,X_Small, yellow 
32, 158.6, 71.1, 102.9,Large, lavender 
24, 173.7, 79.1, 93.6,Small, red 
24, 157.6, 53.6, 83.4,XX_Small, pink 
32, 162.6, 63.9, 93.1,Small, red 
32, 160.4, 62.8, 98.1,Medium, blue 
27, 167.3, 78.8, 103.7,Large, lavender 
27, 164.2, 59.8, 98.1,Medium, blue 
41, 153.8, 75.2, 105.2,Large, lavender 
38, 157.4, 68.6, 102.8,Large, lavender 
26, 163.7, 66.8, 94.6,Small, red 
25, 162.0, 61.3, 93.0,Small, red 
20, 173.3, 74.2, 93.7,Small, red 
26, 152.6, 52.2, 81.0,XX_Small, pink 
42, 173.2, 76.7, 99.1,Medium, blue 
20, 162.4, 66.1, 98.5,Medium, blue 
34, 150.7, 50.5, 84.4,X_Small, yellow 
31, 156.0, 63.7, 96.5,Medium, blue 
20, 164.0, 66.6, 98.5,Medium, blue 
21, 167.5, 61.0, 86.2,X_Small, yellow 
19, 152.6, 58.1, 86.3,X_Small, yellow 
27, 162.3, 60.9, 87.0,X_Small, yellow 
24, 158.4, 57.5, 81.5,XX_Small, pink 
42, 167.1, 79.7, 105.7,Large, lavender 
43, 155.2, 74.5, 113.7,X_Large, green 
31, 163.3, 61.4, 87.4,X_Small, yellow 
37, 153.0, 67.7, 100.4,Medium, blue 
27, 160.6, 50.8, 84.4,X_Small, yellow 
24, 161.7, 63.3, 95.0,Medium, blue 
24, 164.5, 71.1, 101.3,Medium, blue 
36, 168.1, 72.7, 96.0,Medium, blue 
22, 165.5, 67.9, 99.2,Medium, blue 
24, 162.6, 83.3, 106.9,Large, lavender 
26, 163.5, 62.2, 83.8,XX_Small, pink 
32, 157.2, 61.6, 96.2,Medium, blue 
45, 160.8, 57.3, 89.9,X_Small, yellow 
29, 166.2, 50.7, 82.8,XX_Small, pink 
21, 158.2, 61.1, 94.0,Small, red 
21, 170.1, 86.6, 115.6,X_Large, green 
40, 160.2, 52.3, 88.6,X_Small, yellow 
34, 154.9, 67.6, 99.1,Medium, blue 
21, 156.1, 54.9, 89.9,X_Small, yellow 
24, 167.7, 57.1, 88.9,X_Small, yellow 
30, 159.4, 64.4, 90.7,Small, red 
21, 162.8, 64.9, 94.0,Small, red 
21, 154.9, 59.2, 94.9,Small, red 
41, 155.9, 56.3, 86.6,X_Small, yellow 
27, 161.9, 58.0, 90.7,Small, red 
39, 169.0, 81.0, 98.3,Medium, blue 
32, 169.8, 64.9, 89.5,X_Small, yellow 
24, 170.5, 65.4, 89.2,X_Small, yellow 
24, 162.5, 57.0, 87.5,X_Small, yellow 
35, 166.6, 80.5, 101.2,Medium, blue 
24, 155.9, 67.1, 102.6,Large, lavender 
35, 159.5, 67.3, 97.7,Medium, blue 
23, 163.4, 55.0, 81.2,XX_Small, pink 
41, 164.3, 70.8, 91.3,Small, red 
39, 166.7, 53.8, 94.3,Small, red 
39, 166.1, 77.1, 103.2,Large, lavender 
46, 156.0, 60.2, 87.8,X_Small, yellow 
42, 161.0, 71.9, 97.1,Medium, blue 
